date,country,total.confirmation,X,X.1
20191210,903,0,NA,NA
20191211,903,0,NA,NA
20191212,903,0,NA,NA
20191213,903,0,NA,NA
20191214,903,0,NA,NA
20191215,903,0,NA,NA
20191216,903,0,NA,NA
20191217,903,0,NA,NA
20191218,903,0,NA,NA
20191219,903,0,NA,NA
20191220,903,0,NA,NA
20191221,903,0,NA,NA
20191222,903,0,NA,NA
20191223,903,0,NA,NA
20191224,903,0,NA,NA
20191225,903,0,NA,NA
20191226,903,0,NA,NA
20191227,903,0,NA,NA
20191228,903,0,NA,NA
20191229,903,0,NA,NA
20191230,903,0,NA,NA
20191231,903,0,NA,NA
20200101,903,0,NA,NA
20200102,903,0,NA,NA
20200103,903,0,NA,NA
20200104,903,0,NA,NA
20200105,903,0,NA,NA
20200106,903,0,NA,NA
20200107,903,0,NA,NA
20200108,903,0,NA,NA
20200109,903,0,NA,NA
20200110,903,0,NA,NA
20200111,903,0,NA,NA
20200112,903,0,NA,NA
20200113,903,0,NA,NA
20200114,903,0,NA,NA
20200115,903,0,NA,NA
20200116,903,0,NA,NA
20200117,903,0,NA,NA
20200118,903,0,NA,NA
20200119,903,0,NA,NA
20200120,903,0,NA,NA
20200121,903,0,NA,NA
20200122,903,0,NA,NA
20200123,903,0,NA,NA
20200124,903,0,NA,NA
20200125,903,0,NA,NA
20200126,903,0,NA,NA
20200127,903,0,NA,NA
20200128,903,0,NA,NA
20200129,903,0,NA,NA
20200130,903,0,NA,NA
20200131,903,0,NA,NA
20200201,903,0,NA,NA
20200202,903,0,NA,NA
20200203,903,0,NA,NA
20200204,903,0,NA,NA
20200205,903,0,NA,NA
20200206,903,0,NA,NA
20200207,903,0,NA,NA
20200208,903,0,NA,NA
20200209,903,0,NA,NA
20200210,903,0,NA,NA
20200211,903,0,NA,NA
20200212,903,0,NA,NA
20200213,903,0,NA,NA
20200214,903,0,NA,NA
20200215,903,0,NA,NA
20200216,903,0,NA,NA
20200217,903,0,NA,NA
20200218,903,0,NA,NA
20200219,903,0,NA,NA
20200220,903,0,NA,NA
20200221,903,0,NA,NA
20200222,903,0,NA,NA
20200223,903,0,NA,NA
20200224,903,0,NA,NA
20200225,903,2,NA,NA
20200226,903,2,NA,NA
20200227,903,3,NA,NA
20200228,903,3,NA,NA
20200229,903,9,NA,NA
20200301,903,14,NA,NA
20200302,903,18,NA,NA
20200303,903,21,NA,NA
20200304,903,29,NA,NA
20200305,903,41,NA,NA
20200306,903,55,NA,NA
20200307,903,79,NA,NA
20200308,903,104,NA,NA
20200309,903,131,NA,NA
20200310,903,182,NA,NA
20200311,903,246,NA,NA
20200312,903,302,NA,NA
20200313,903,504,NA,NA
20200314,903,655,NA,NA
20200315,903,860,NA,NA
20200316,903,1018,NA,NA
20200317,903,1332,NA,NA
20200318,903,1646,NA,NA
20200319,903,2013,NA,NA
20200320,903,2388,NA,NA
20200321,903,2814,NA,NA
20200322,903,3244,NA,NA
20200323,903,4474,NA,NA
20200324,903,5283,NA,NA
20200325,903,5588,NA,NA
20200326,903,6909,NA,NA
20200327,903,7697,NA,NA
20200328,903,8271,NA,NA
20200329,903,8788,NA,NA
20200330,903,9618,NA,NA
20200331,903,10180,NA,NA
20200401,903,10711,NA,NA
20200402,903,11129,NA,NA
20200403,903,11524,NA,NA
20200404,903,11781,NA,NA
20200405,903,12051,NA,NA
20200406,903,12297,NA,NA
20200407,903,12639,NA,NA
20200408,903,12942,NA,NA
20200409,903,13244,NA,NA
20200410,903,13555,NA,NA
20200411,903,13806,NA,NA
20200412,903,13945,NA,NA
20200413,903,14041,NA,NA
20200414,903,14226,NA,NA
20200415,903,14350,NA,NA
20200416,903,14476,NA,NA
20200417,903,14595,NA,NA
20200418,903,14671,NA,NA
20200419,903,14749,NA,NA
20200420,903,14795,NA,NA
20200421,903,14873,NA,NA
20200422,903,14925,NA,NA
20200423,903,15002,NA,NA
20200424,903,15071,NA,NA
20200425,903,15148,NA,NA
20200426,903,15225,NA,NA
20200427,903,15274,NA,NA
20200428,903,15357,NA,NA
20200429,903,15402,NA,NA
20200430,903,15452,NA,NA
20200501,903,15531,NA,NA
20200502,903,15558,NA,NA
20191210,901,0,NA,NA
20191211,901,0,NA,NA
20191212,901,0,NA,NA
20191213,901,0,NA,NA
20191214,901,0,NA,NA
20191215,901,0,NA,NA
20191216,901,0,NA,NA
20191217,901,0,NA,NA
20191218,901,0,NA,NA
20191219,901,0,NA,NA
20191220,901,0,NA,NA
20191221,901,0,NA,NA
20191222,901,0,NA,NA
20191223,901,0,NA,NA
20191224,901,0,NA,NA
20191225,901,0,NA,NA
20191226,901,0,NA,NA
20191227,901,0,NA,NA
20191228,901,0,NA,NA
20191229,901,0,NA,NA
20191230,901,0,NA,NA
20191231,901,0,NA,NA
20200101,901,0,NA,NA
20200102,901,0,NA,NA
20200103,901,0,NA,NA
20200104,901,0,NA,NA
20200105,901,0,NA,NA
20200106,901,0,NA,NA
20200107,901,0,NA,NA
20200108,901,0,NA,NA
20200109,901,0,NA,NA
20200110,901,0,NA,NA
20200111,901,0,NA,NA
20200112,901,0,NA,NA
20200113,901,0,NA,NA
20200114,901,0,NA,NA
20200115,901,0,NA,NA
20200116,901,0,NA,NA
20200117,901,0,NA,NA
20200118,901,0,NA,NA
20200119,901,0,NA,NA
20200120,901,0,NA,NA
20200121,901,0,NA,NA
20200122,901,0,NA,NA
20200123,901,0,NA,NA
20200124,901,0,NA,NA
20200125,901,0,NA,NA
20200126,901,0,NA,NA
20200127,901,0,NA,NA
20200128,901,0,NA,NA
20200129,901,0,NA,NA
20200130,901,0,NA,NA
20200131,901,0,NA,NA
20200201,901,0,NA,NA
20200202,901,0,NA,NA
20200203,901,0,NA,NA
20200204,901,0,NA,NA
20200205,901,0,NA,NA
20200206,901,0,NA,NA
20200207,901,0,NA,NA
20200208,901,0,NA,NA
20200209,901,0,NA,NA
20200210,901,0,NA,NA
20200211,901,0,NA,NA
20200212,901,0,NA,NA
20200213,901,0,NA,NA
20200214,901,0,NA,NA
20200215,901,0,NA,NA
20200216,901,0,NA,NA
20200217,901,0,NA,NA
20200218,901,0,NA,NA
20200219,901,0,NA,NA
20200220,901,0,NA,NA
20200221,901,0,NA,NA
20200222,901,0,NA,NA
20200223,901,0,NA,NA
20200224,901,0,NA,NA
20200225,901,1,NA,NA
20200226,901,1,NA,NA
20200227,901,8,NA,NA
20200228,901,8,NA,NA
20200229,901,18,NA,NA
20200301,901,27,NA,NA
20200302,901,42,NA,NA
20200303,901,56,NA,NA
20200304,901,90,NA,NA
20200305,901,114,NA,NA
20200306,901,214,NA,NA
20200307,901,268,NA,NA
20200308,901,337,NA,NA
20200309,901,374,NA,NA
20200310,901,491,NA,NA
