country,report1,report2,report3,report4,report5,report6
420100,4.5,2.8,2.8,2.8,2.8,2.8
770000,4.5,2.8,2.8,2.8,2.8,2.8
110000,4.5,2.8,2.8,2.8,2.8,2.8
120000,4.5,2.8,2.8,2.8,2.8,2.8
130000,4.5,2.8,2.8,2.8,2.8,2.8
140000,4.5,2.8,2.8,2.8,2.8,2.8
150000,4.5,2.8,2.8,2.8,2.8,2.8
210000,4.5,2.8,2.8,2.8,2.8,2.8
220000,4.5,2.8,2.8,2.8,2.8,2.8
230000,4.5,2.8,2.8,2.8,2.8,2.8
310000,4.5,2.8,2.8,2.8,2.8,2.8
320000,4.5,2.8,2.8,2.8,2.8,2.8
330000,4.5,2.8,2.8,2.8,2.8,2.8
340000,4.5,2.8,2.8,2.8,2.8,2.8
350000,4.5,2.8,2.8,2.8,2.8,2.8
360000,4.5,2.8,2.8,2.8,2.8,2.8
370000,4.5,2.8,2.8,2.8,2.8,2.8
410000,4.5,2.8,2.8,2.8,2.8,2.8
430000,4.5,2.8,2.8,2.8,2.8,2.8
440000,4.5,2.8,2.8,2.8,2.8,2.8
450000,4.5,2.8,2.8,2.8,2.8,2.8
460000,4.5,2.8,2.8,2.8,2.8,2.8
500000,4.5,2.8,2.8,2.8,2.8,2.8
510000,4.5,2.8,2.8,2.8,2.8,2.8
520000,4.5,2.8,2.8,2.8,2.8,2.8
530000,4.5,2.8,2.8,2.8,2.8,2.8
540000,4.5,2.8,2.8,2.8,2.8,2.8
610000,4.5,2.8,2.8,2.8,2.8,2.8
620000,4.5,2.8,2.8,2.8,2.8,2.8
630000,4.5,2.8,2.8,2.8,2.8,2.8
640000,4.5,2.8,2.8,2.8,2.8,2.8
650000,4.5,2.8,2.8,2.8,2.8,2.8
901,72,7,4.5,2.8,2.8,2.8
902,72,7,4.5,2.8,2.8,2.8
903,72,7,4.5,2.8,2.8,2.8
904,72,7,4.5,2.8,2.8,2.8
905,72,7,4.5,2.8,2.8,2.8
906,72,7,4.5,2.8,2.8,2.8
907,72,7,4.5,2.8,2.8,2.8
908,72,7,4.5,2.8,2.8,2.8
909,72,7,4.5,2.8,2.8,2.8
910,72,7,4.5,2.8,2.8,2.8
911,72,7,4.5,2.8,2.8,2.8
912,72,7,4.5,2.8,2.8,2.8
990000,72,7,4.5,2.8,2.8,2.8
